price,normalPrice,discount,discount_percentage,url,name
7.48,14.95,"7,48 €",-50%,https://jugamosuna.es/tienda/1518/comprar-adivina-barato.html,¡Adivina!
4.98,9.949999,"4,98 €",-50%,https://jugamosuna.es/tienda/9331/comprar-the-dark-rampage-barato.html,THE DARK RAMPAGE
7.48,14.95,"7,48 €",-50%,https://jugamosuna.es/tienda/1368/comprar-tricks-and-mercenaries-barato.html,Tricks & Mercenaries - Kharnage
23.97,39.95,"15,98 €",-40%,https://jugamosuna.es/tienda/1046/comprar-hora-de-aventuras-aventuras-en-el-mundo-de-ooo-barato.html,Hora de Aventuras: Aventuras en el Mundo de Ooo
24.95,24.95,,,https://jugamosuna.es/tienda/10174/comprar-una-noche-de-verano-time-stories-revolution-barato.html,[Pre-Venta 01/2021] Una noche de verano - T.I.M.E. Stories Revolution
41.97,59.950001,"17,99 €",-30%,https://jugamosuna.es/tienda/795/comprar-toxic-city-mall-barato.html,Toxic City Mall (Expansión para el Zombicide)
5.97,9.949999,"3,98 €",-40%,https://jugamosuna.es/tienda/911/dengar-asesino-despiadado-barato.html,"Star Wars Imperial Assault: Dengar, Asesino despiadado"
5.97,9.949999,"3,98 €",-40%,https://jugamosuna.es/tienda/1473/comprar-star-wars-imperial-assault-jawa-carronero-barato.html,Jawa Carroñero - Star Wars Imperial Assault
11.97,19.95,"7,98 €",-40%,https://jugamosuna.es/tienda/762/comprar-jinete-de-bantha-barato.html,Star Wars: Imperial Assault - Jinete de bantha
5.97,9.949999,"3,98 €",-40%,https://jugamosuna.es/tienda/763/comprar-aliado-contrabandista-de-la-alianza-barato.html,Star Wars: Imperial Assault - Aliado Contrabandista de la Alianza
7.77,12.95,"5,18 €",-40%,https://jugamosuna.es/tienda/3422/comprar-star-wars-imperial-assault-hondo-ohnaka-barato.html,Star Wars Imperial Assault: Hondo Ohnaka
5.97,9.949999,"3,98 €",-40%,https://jugamosuna.es/tienda/662/comprar-imperial-assault-chewbacca-pack-de-aliado-barato.html,Star Wars: Imperial Assault - Chewbacca Pack de Aliado
7.48,14.95,"7,48 €",-50%,https://jugamosuna.es/tienda/4849/comprar-caja-de-inicio-general-grievous-star-wars-destiny-barato.html,Caja de inicio: General Grievous - Star Wars: Destiny
