price,normalPrice,discount,discount_percentage,url,name
5.97,9.949999,"3,98 €",-40%,https://jugamosuna.es/tienda/910/general-sorin-estratega-cruel-barato.html,"Star Wars Imperial Assault: General Sorin, Estratega cruel"
23.96,31.95,"7,99 €",-25%,https://jugamosuna.es/tienda/4888/comprar-letter-tycoon-ingles-barato.html,Letter Tycoon (Inglés)
6.73,14.95,"8,22 €",-55%,https://jugamosuna.es/tienda/2180/comprar-guns-steel-barato.html,Guns & Steel
21.5,43,"21,50 €",-50%,https://jugamosuna.es/tienda/3579/comprar-2018-carpe-diem-barato.html,CARPE DIEM
9.98,19.95,"9,98 €",-50%,https://jugamosuna.es/tienda/10102/comprar-los-esoterroristas-barato.html,Los Esoterroristas
24.98,49.95,"24,98 €",-50%,https://jugamosuna.es/tienda/2568/comprar-tierras-bajas-barato.html,Tierras Bajas
8.97,14.95,"5,98 €",-40%,https://jugamosuna.es/tienda/1477/comprar-star-wars-x-wing-canonera-auzituck-barato.html,Cañonera Auzituck - Star Wars X-Wing
8.97,14.95,"5,98 €",-40%,https://jugamosuna.es/tienda/1833/comprar-star-wars-x-wing-tie-fantasma-barato.html,TIE Fantasma - Star Wars X-Wing
11.97,19.95,"7,98 €",-40%,https://jugamosuna.es/tienda/1478/comprar-star-wars-x-wing-bombardero-scurrg-h-6-barato.html,Bombardero Scurrg H-6 - Star Wars X-Wing
19.98,39.95,"19,98 €",-50%,https://jugamosuna.es/tienda/399/colonos-del-imperio.html,Colonos del Imperio
14.98,29.95,"14,98 €",-50%,https://jugamosuna.es/tienda/8083/comprar-el-arte-de-los-mitos-de-cthulhu-barato.html,El arte de los Mitos de Cthulhu
10.4,13,"2,60 €",-20%,https://jugamosuna.es/tienda/5224/PLAYMOBIL-6775-123-pala.html,PLAYMOBIL 6775 - 1.2.3 Pala
19.22,34.950001,"15,73 €",-45%,https://jugamosuna.es/tienda/2002/comprar-cottage-garden-mi-pequeno-jardin-barato.html,Cottage Garden: Mi Pequeño Jardín
19.22,34.950001,"15,73 €",-45%,https://jugamosuna.es/tienda/2003/comprar-indian-summer-barato.html,Indian Summer
17.97,29.95,"11,98 €",-40%,https://jugamosuna.es/tienda/3763/comprar-la-cosa-nostra-barato.html,La Cosa Nostra
44.97,74.95,"29,98 €",-40%,https://jugamosuna.es/tienda/4026/comprar-colonos-de-marte-barato.html,COLONOS DE MARTE
34.98,69.95,"34,98 €",-50%,https://jugamosuna.es/tienda/10109/comprar-al-servicio-de-su-majestad-the-world-of-smog-barato.html,Al servicio de su majestad - The World of Smog
19.96,24.95,"4,99 €",-20%,https://jugamosuna.es/tienda/2118/comprar-gloom-barato.html,Gloom (Segunda Edición)
5.97,9.949999,"3,98 €",-40%,https://jugamosuna.es/tienda/912/princesa-leia-comandante-rebelde-barato.html,"Star Wars Imperial Assault: Princesa Leia, Comandante rebelde"
35.97,59.950001,"23,98 €",-40%,https://jugamosuna.es/tienda/914/regreso-a-hoth-barato.html,Star Wars Imperial Assault: Regreso a Hoth
7.48,14.95,"7,48 €",-50%,https://jugamosuna.es/tienda/4849/comprar-caja-de-inicio-general-grievous-star-wars-destiny-barato.html,Caja de inicio: General Grievous - Star Wars: Destiny
7.48,14.95,"7,48 €",-50%,https://jugamosuna.es/tienda/4850/comprar-caja-de-inicio-obi-wan-kenobi-star-wars-destiny-barato.html,Caja de inicio: Obi-Wan Kenobi - Star Wars: Destiny
38.97,64.95,"25,98 €",-40%,https://jugamosuna.es/tienda/3762/comprar-arcadia-quest-jinetes-barato.html,Arcadia Quest Jinetes
5.97,9.949999,"3,98 €",-40%,https://jugamosuna.es/tienda/661/comprar-imperial-assault-han-solo-pack-de-aliado-barato.html,Star Wars: Imperial Assault - Han Solo Pack de Aliado
