price,normalPrice,discount,discount_percentage,url,name
24.95,49.9488,"25,00 €",-2.500%,https://jugamosotra.com/juegos/4665-juego-de-tronos-el-trono-de-hierro.html,Juego de Tronos: El Trono de Hierro
59.95,99.946,"40,00 €",-4.000%,https://jugamosotra.com/2-jugadores/989-star-wars-armada.html,Star Wars : Armada
35.95,60.0039,"24,05 €",-2.405%,https://jugamosotra.com/3-5-jugadores/2748-ponzi-scheme.html,Ponzi Scheme
12.95,60.0039,"47,05 €",-4.705%,https://jugamosotra.com/3-5-jugadores/5652-olympus.html,Olympus
17.95,54.9461,"37,00 €",-3.700%,https://jugamosotra.com/juegos/5651-el-favor-del-faraon.html,El Favor del Faraón
32.94,79.9447,"47,00 €",-4.700%,https://jugamosotra.com/3-5-jugadores/5650-immortals.html,Immortals
19.94,34.9932,"15,05 €",-1.505%,https://jugamosotra.com/2-6-jugadores/5649-alta-tension.html,Alta Tensión
19.94,39.990499,"20,05 €",-2.005%,https://jugamosotra.com/juegos/5648-tuki.html,Tuki
6.95,12.9954,"6,05 €",-605%,https://jugamosotra.com/juegos/5647-5211.html,5211
15.95,29.9959,"14,05 €",-1.405%,https://jugamosotra.com/juegos/5646-orbis.html,Orbis
19.94,39.990499,"20,05 €",-2.005%,https://jugamosotra.com/juegos/5645-nictofobia.html,Nictofobia
16.95,35.9491,"19,00 €",-1.900%,https://jugamosotra.com/1-4-jugadores/5644-solenia.html,Solenia
9.94,19.9408,"10,00 €",-1.000%,https://jugamosotra.com/inicio/5643-rrr.html,RRR
10.95,24.9986,"14,05 €",-1.405%,https://jugamosotra.com/2-4-jugadores/5642-rookie-heroes.html,Rookie Heroes
4.95,9.9462,"5,00 €",-500%,https://jugamosotra.com/2-8-jugadores-/5641-pares.html,Pares
14.94,34.9448,"20,00 €",-2.000%,https://jugamosotra.com/juegos/5640-santiago.html,Santiago
49.95,99.946,"50,00 €",-5.000%,https://jugamosotra.com/2-6-jugadores/5639-rum-bones.html,Rum & Bones
16.94,34.9448,"18,00 €",-1.800%,https://jugamosotra.com/juegos/5638-bomb-squad.html,Bomb Squad
11.94,24.9381,"13,00 €",-1.300%,https://jugamosotra.com/juegos/5637-snow-time.html,Snow Time
29.94,59.9434,"30,00 €",-3.000%,https://jugamosotra.com/2-4-jugadores/5636-arcadia-quest-mas-alla-de-la-tumba.html,Arcadia Quest: Más Allá de la Tumba
31.94,64.9407,"33,00 €",-3.300%,https://jugamosotra.com/2-4-jugadores/5635-arcadia-quest-jinetes.html,Arcadia Quest Jinetes
29.94,59.9434,"30,00 €",-3.000%,https://jugamosotra.com/2-4-jugadores/5634-arcadia-quest-mascotas.html,Arcadia Quest Mascotas
34.95,74.9958,"40,05 €",-4.005%,https://jugamosotra.com/1-4-jugadores/5633-colonos-de-marte.html,Colonos de Marte
46.95,99.946,"53,00 €",-5.300%,https://jugamosotra.com/juegos/5632-journey-la-ira-de-los-demonios.html,Journey: La ira de los demonios
19.94,39.9421,"20,00 €",-2.000%,https://jugamosotra.com/2-4-jugadores/5631-the-river.html,The River
14.95,29.9475,"15,00 €",-1.500%,https://jugamosotra.com/juegos/5630-kero.html,Kero
11.94,19.9892,"8,05 €",-805%,https://jugamosotra.com/juegos/5629-magic-maze-maxima-seguridad.html,Magic Maze: Máxima Seguridad
7.19,11.9911,"4,80 €",-480%,https://jugamosotra.com/juegos/5628-magic-maze-roles-ocultos.html,Magic Maze: Roles Ocultos
21.95,29.9475,"8,00 €",-800%,https://jugamosotra.com/juegos/4861-dual-powers-revolucion-1917.html,Dual Powers: Revolución 1917
38.94,64.9891,"26,05 €",-2.605%,https://jugamosotra.com/2-5-jugadores/1127-belfort-edicion-limitada.html,Belfort: Edición Limitada
36.94,62.9442,"26,00 €",-2.600%,https://jugamosotra.com/2-4-jugadores/3073-yokohama.html,Yokohama
29.95,49.9972,"20,05 €",-2.005%,https://jugamosotra.com/2-4-jugadores/3369-gold-west-edicion-limitada.html,Gold West Edición Limitada
24.95,49.9488,"25,00 €",-2.500%,https://jugamosotra.com/2-4-jugadores/5585-genios-victorianos.html,Genios Victorianos
